茶馆,9.4,剧情,中国大陆,https://movie.douban.com/subject/1461403/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2528965424.jpg
背靠背，脸对脸,9.4,剧情,中国大陆,https://movie.douban.com/subject/1307856/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2512625908.jpg
鬼子来了,9.2,剧情,中国大陆,https://movie.douban.com/subject/1291858/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1181775734.jpg
哀乐中年,9.2,剧情,中国大陆,https://movie.douban.com/subject/4719384/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2029574250.jpg
遥望南方的童年,9.2,剧情,中国大陆,https://movie.douban.com/subject/3037329/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2516014437.jpg
狐妖小红娘剧场版：王权富贵,9.2,剧情,中国大陆,https://movie.douban.com/subject/26946612/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2409467410.jpg
末代皇帝,9.1,剧情,中国大陆,https://movie.douban.com/subject/1293172/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p452089833.jpg
活着,9.1,剧情,中国大陆,https://movie.douban.com/subject/1292365/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2513253791.jpg
芙蓉镇,9.1,剧情,中国大陆,https://movie.douban.com/subject/1297880/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2174804034.jpg
天堂回信,9.1,剧情,中国大陆,https://movie.douban.com/subject/1418076/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1090024531.jpg
剃头匠,9.1,剧情,中国大陆,https://movie.douban.com/subject/3097352/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2186918733.jpg
我不是药神,9.0,剧情,中国大陆,https://movie.douban.com/subject/26752088/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2519070834.jpg
神女,9.0,剧情,中国大陆,https://movie.douban.com/subject/1302210/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2028929312.jpg
红楼梦,9.0,剧情,中国大陆,https://movie.douban.com/subject/1329969/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2322451692.jpg
秦时明月之一舞倾城,9.0,剧情,中国大陆,https://movie.douban.com/subject/4804209/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2351983504.jpg
紫陀螺,9.0,剧情,中国大陆,https://movie.douban.com/subject/2361040/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2517536598.jpg
大话西游之大圣娶亲,9.2,喜剧,中国大陆,https://movie.douban.com/subject/1292213/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2455050536.jpg
